都道府県庁所在市,金額
札幌市,10399
青森市,8590
盛岡市,11482
仙台市,9662
秋田市,8184
山形市,10586
福島市,10975
水戸市,9743
宇都宮市,10304
前橋市,8636
さいたま市,10441
千葉市,9636
東京都区部,10331
横浜市,9589
新潟市,9886
富山市,10067
金沢市,11887
福井市,9355
甲府市,8925
長野市,9111
岐阜市,10012
静岡市,9773
名古屋市,9125
津市,9563
大津市,9901
京都市,7911
大阪市,7945
神戸市,10437
奈良市,9442
和歌山市,7760
鳥取市,10139
松江市,8515
岡山市,9842
広島市,10419
山口市,11667
徳島市,8938
高松市,8560
松山市,8383
高知市,10948
福岡市,9731
佐賀市,9190
長崎市,7724
熊本市,9804
大分市,7846
宮崎市,7986
鹿児島市,8919
那覇市,6871
